code,name
"1","KİRAZLITEPE - ACIBADEM / KADIKÖY"
"2","BOSTANCI - HAREM"
"3","BURHANİYE MAHALLESİ - KADIKÖY"
"4","MALTEPE SAHİL - KADIKÖY"
"5","VALİEVLERİ - ÜSKÜDAR"
"6","ESATPAŞA / KÜÇÜKÇAMLICA - HAREM"
"7","TOPAĞACI MAHALLESİ / ÜMRANİYE - RASATHANE"
"8","VALİEVLERİ - KADIKÖY"
"10","Ü.EĞT.ARŞ.HASTANESİ - ATAŞEHİR / BOSTANCI"
"11","YENİDOĞAN - ALTUNİZADE METROBÜS"
"12","KADIKÖY - ÜSKÜDAR"
"13","ATAŞEHİR / ÇAKMAK MAHALLESİ - KADIKÖY"
"15","BEYKOZ - ÜSKÜDAR"
"17","PENDİK - KADIKÖY"
"19","FERHATPAŞA / YEDİTEPE ÜNİVERSİTESİ - UZUNÇAYIR"
"20","ORTAÇEŞME / KAVACIK - Ü.EĞT.ARŞ.HASTANESİ"
"22","İSTİNYE DEREİÇİ - KABATAŞ"
"25","HACIOSMAN METRO - HAVANTEPE"
"26","DİKİLİTAŞ - EMİNÖNÜ"
"28","TOPKAPI / EDİRNEKAPI - BEŞİKTAŞ"
"29","İSTİNYE DEREİÇİ - ZİNCİRLİKUYU METROBÜS"
"31","KUYUMCUKENT - YENİKAPI"
"32","CEVATPAŞA - EMİNÖNÜ"
"33","GİYİMKENT / TURGUTREİS - EMİNÖNÜ"
"34","AVCILAR-ZİNCİRLİKUYU"
"35","KOCAMUSTAFAPAŞA - EMİNÖNÜ"
"36","YENİ MAHALLE METRO - AKSARAY RİNG"
"38","SULTANGAZİ PERON-AKSARAY"
"40","RUMELİFENERİ / GARİPÇE - TAKSİM"
"41","SİNPAŞ SİTESİ - 4.LEVENT METRO"
"42","BAHÇEKÖY / FERAHEVLER - ZİNCİRLİKUYU METROBÜS"
"48","GÖKTÜRK - MECİDİYEKÖY"
"55","GAZİOSMANPAŞA - ŞİŞLİ"
"62","KAĞITHANE / GÜLTEPE - KABATAŞ"
"63","KAĞITHANE / ÇELİKTEPE - KABATAŞ"
"66","GÜLBAĞ - EMİNÖNÜ"
"73","YENİBOSNA METRO- TAKSİM"
"74","HİLTON SİTESİ - EMİNÖNÜ"
"76","BEYLİKDÜZÜ - BAKIRKÖY"
"77","YENİKAPI-ŞİŞLİ"
"78","METROKENT - EMİNÖNÜ"
"82","KUYUMCUKENT - EMİNÖNÜ"
"87","TOPKAPI / EDİRNEKAPI - TAKSİM"
"88","SULTANGAZİ PERON - TOPKAPI"
"89","K.S.S. HASTANESİ/ATAKENT-AKSARAY"
"90","DRAMAN - EMİNÖNÜ"
"92","YENİ MAHALLE METRO - EMİNÖNÜ"
"93","ZEYTİNBURNU - EMİNÖNÜ"
"97","15 TEMMUZ MAHALLESİ - AKSARAY"
"98","FENERTEPE/BAŞAKŞEHİR - BAKIRKÖY"
"132","AKFIRAT / TEPEÖREN - KARTAL"
"134","VIAPORT / HİLAL KONUTLARI - KARTAL"
"135","POYRAZKÖY - SULTANİYE"
"136","DEĞİRMENDERE - SULTANİYE"
"137","CUMHURİYET KÖYÜ / RİVA - BEYKOZ / SULTANİYE"
"138","CUMHURİYET KÖYÜ / ÖMERLİ - ÜMRANİYE"
"139","ÜSKÜDAR - ŞİLE"
"142","BOĞAZKÖY - AVCILAR METROBÜS"
"143","KÜÇÜKÇEKMECE - İSTOÇ"
"144","BOĞAZKÖY/BAHÇEKENT-HARAMİDERE"
"145","İHLAS MARMARA EVLERİ - KÜÇÜKÇEKMECE MARMARAY"
"146","BOĞAZKÖY / BAHÇEŞEHİR - BAKIRKÖY"
"147","ŞAHİNTEPE İGTOT - AVCILAR CİHANGİR MAHALLESİ"
"150","HACIOSMAN METRO - RUMELİFENERİ"
"151","HACIOSMAN METRO - KİLYOS / DEMİRCİKÖY"
"152","HACIOSMAN METRO - ZEKERİYAKÖY / KISIRKAYA"
"153","BAHÇEKÖY - SARIYER"
"154","HACIOSMAN METRO - KOÇ ÜNİVERSİTESİ"
"251","PENDİK - MECİDİYEKÖY"
"256","YEDİTEPE ÜNİVERSİTESİ / ATAŞEHİR - TAKSİM"
"300","SİLİVRİ-TÜYAP"
